ProfileID,FullName,phone,emailID,city,HouseID,move_in_date,move_out_date,rent,TotalReferrals,LastEmployer,Occupational_category
3,Bhaskar maheshwari,9801834992,bhaskar.mah@gmail.com,Bangalore,4,28-10-2015,28-11-2016,12000,1,Technicolor,Working
13,Mitali gupta,8796751238,mitali.gupta80@gmail.com,Pune,12,25-02-2015,NULL,12000,2,SAP Labs India,Working
2,Ashish Singh,9876890463,ashish.singh@gmail.com,Bangalore,2,05-06-2015,NULL,11000,2,hindustan unilever,Working
12,Umang parejiya,7896543674,uparejiya@gmail.com,Pune,15,24-02-2015,NULL,11000,1,Centurylink India,Working
6,Harish sahai,9876548763,harish294all@gmail.com,Bangalore,8,25-12-2015,NULL,10200,1,Aditya birla,Working
5,Tanvi mann,9178352769,tanvi.mann1907@gmail.com,Bangalore,3,15-05-2015,27-12-2015,9000,3,GE Healthcare,Working
4,Garima yadav,81059237004,garima0191@gmail.com,Bangalore,1,26-04-2015,NULL,8000,0,,Student
11,Deepa sudhakar,7896785432,sudhakar.deepa@gmail.com,Pune,19,29-08-2015,14-06-2016,8000,0,,Student
1,anusha pariti,8105987404,anusha.pariti@gmail.com,Bangalore,5,12-02-2015,30-04-2016,7500,0,Sabre,Working
9,Shivshankar das,9801834992,sankar.shiva730@gmail.com,Pune,9,15-10-2015,NULL,7500,1,,Student
10,Aditi jain,9873123456,aditi.jain@sproxil.com,Pune,10,20-06-2015,NULL,7500,1,huawei Technologies,Working
8,Tushar kapoor,8926537154,tushar.kapoor21@gmail.com,Pune,7,10-11-2015,31-12-2016,7200,0,,Student
7,Kamal gera,8105987404,kamal0094@gmail.com,Bangalore,6,20-11-2015,NULL,6500,0,,Student
